Internship Title,Company Name,Location,Start Date,Duration,Stipend,Payroll_Clean,Level,Internship_Title,Payroll_Level_Bucket,Skills,Skills_List
recruitment,Zemoso Technologies Private Limited,Work From Home,Immediately,2 Months,"₹ 15,000-18,000 /month",16500.0,Entry,recruitment,7-1 (Entry),"Documentation, Data Entry, Scheduling","['Documentation', 'Data Entry', 'Scheduling']"
photography,Very Much Indian,Pune,Immediately,2 Months,"₹ 5,000 /month +  Incentives",5000.0,Mid,photography,13-11 (Mid),"DSLR, Composition, Editing, Communication","['DSLR', 'Composition', 'Editing', 'Communication']"
wordpress development,UnsaidTalks,Work From Home,Immediately,2 Months,"₹ 1,000 /month +  Incentives",1000.0,Elite,wordpress development,18 (Elite),"WordPress, PHP, HTML/CSS, Theme/Plugin Development, WooCommerce, SEO, Git","['WordPress', 'PHP', 'HTML/CSS', 'Theme/Plugin Development', 'WooCommerce', 'SEO', 'Git']"
digital marketing,Bitstretch,Work From Home,Immediately,3 Months,"₹ 1,500-5,000 /month",3250.0,Elite,digital marketing,40-38 (Elite),"SEO, SEM, Google Ads, Facebook Ads, Analytics, Marketing Strategy, Conversion Optimization, Campaign Management","['SEO', 'SEM', 'Google Ads', 'Facebook Ads', 'Analytics', 'Marketing Strategy', 'Conversion Optimization', 'Campaign Management']"
creative design,Sampley,Work From Home,Immediately,3 Months,"₹ 15,000 /month",15000.0,Entry,creative design,3-1 (Entry),"Photoshop, Illustrator, Basic Layout","['Photoshop', 'Illustrator', 'Basic Layout']"
full stack development,Bitstretch,Work From Home,Immediately,3 Months,"₹ 1,500-5,000 /month",3250.0,Elite,full stack development,22-21 (Elite),"HTML, CSS, JS, React, Node.js, Database, API, Git","['HTML', 'CSS', 'JS', 'React', 'Node.js', 'Database', 'API', 'Git']"
social media marketing,Corizo Edu-Tech,Work From Home,Immediately,3 Months,"₹ 1,000-10,000 /month",5500.0,Senior,social media marketing,31-29 (Senior),"Social Media Strategy, Analytics, Content Planning, Campaign Management, Reporting, Communication","['Social Media Strategy', 'Analytics', 'Content Planning', 'Campaign Management', 'Reporting', 'Communication']"
android app development,Bitstretch,Work From Home,Immediately,3 Months,"₹ 1,500-4,000 /month",2750.0,Elite,android app development,15 (Elite),"Java/Kotlin, Android SDK, UI/UX Design, API Integration, Testing, Git","['Java/Kotlin', 'Android SDK', 'UI/UX Design', 'API Integration', 'Testing', 'Git']"
ui/ux design,RandomStrangerChats,Work From Home,Immediately,3 Months,"₹ 2,000-10,000 /month",6000.0,Mid,ui/ux design,12-10 (Mid),"Wireframing, Prototyping, User Research, Interaction Design, Communication","['Wireframing', 'Prototyping', 'User Research', 'Interaction Design', 'Communication']"
digital marketing,Brandninja,Mumbai,Immediately,3 Months,"₹ 7,000-12,000 /month",9500.0,Mid,digital marketing,31-25 (Mid),"SEO, Social Media, Analytics, Content Creation, Campaign Management","['SEO', 'Social Media', 'Analytics', 'Content Creation', 'Campaign Management']"
field sales,Wherehouse.io,Gurgaon,Immediately,3 Months,"₹ 5,000-15,000 /month",10000.0,Mid,field sales,8-6 (Mid),"CRM, Lead Generation, Customer Interaction, Communication","['CRM', 'Lead Generation', 'Customer Interaction', 'Communication']"
law/legal,Morepen Laboratories Limited,Gurgaon,Immediately,3 Months,"₹ 12,000 /month",12000.0,Entry,law/legal,7-1 (Entry),"Documentation, Basic Legal Knowledge","['Documentation', 'Basic Legal Knowledge']"
social media management,Closett,Work From Home,Immediately,3 Months,"₹ 4,000-5,000 /month",4500.0,Elite,,,,
photography,Early Foods,Pune,Immediately,3 Months,"₹ 8,000 /month +  Incentives",8000.0,Junior,photography,10-7 (Junior),"DSLR, Composition, Editing, Communication","['DSLR', 'Composition', 'Editing', 'Communication']"
sales,Qriocity Ventures Private Limited,Chennai,Immediately,3 Months,"₹ 15,000-20,000 /month",17500.0,Entry,sales,11-1 (Entry),"Communication, Cold Calling, Customer Interaction","['Communication', 'Cold Calling', 'Customer Interaction']"
motion graphics,Grafizen International,Work From Home,Immediately,3 Months,"₹ 12,000-25,000 /month",18500.0,Entry,motion graphics,4-1 (Entry),"Basic Motion Graphics, Simple Editing","['Basic Motion Graphics', 'Simple Editing']"
business development (sales),Gotomate Media,Work From Home,Immediately,3 Months,"₹ 2,250 /month +  Incentives",2250.0,Elite,business development (sales),46-44 (Elite),"Strategic Planning, Negotiation, CRM, Market Research, Leadership, Client Acquisition, Data Analysis, Communication","['Strategic Planning', 'Negotiation', 'CRM', 'Market Research', 'Leadership', 'Client Acquisition', 'Data Analysis', 'Communication']"
video making/editing,Akshay Bhushan,Work From Home,Immediately,4 Months,"₹ 2,500-4,000 /month",3250.0,Elite,video making/editing,26-24 (Elite),"Premiere Pro, After Effects, Storyboarding, Motion Graphics, Color Grading, Editing, Audio","['Premiere Pro', 'After Effects', 'Storyboarding', 'Motion Graphics', 'Color Grading', 'Editing', 'Audio']"
recruitment,Domnic Lewis Private Limited,Mumbai,Immediately,4 Months,"₹ 15,000-30,000 /month",22500.0,Entry,recruitment,7-1 (Entry),"Documentation, Data Entry, Scheduling","['Documentation', 'Data Entry', 'Scheduling']"
full stack development,CodeBihar Technologies Pvt Ltd,Work From Home,Immediately,4 Months,"₹ 5,000 /month",5000.0,Elite,full stack development,22-21 (Elite),"HTML, CSS, JS, React, Node.js, Database, API, Git","['HTML', 'CSS', 'JS', 'React', 'Node.js', 'Database', 'API', 'Git']"
recruitment,Zyvka Global Services,Work From Home,Immediately,4 Months,"₹ 4,000 /month",4000.0,Senior,recruitment,18-17 (Senior),"Talent Sourcing, Interviewing, HR Software, Candidate Assessment, Employer Branding, Communication","['Talent Sourcing', 'Interviewing', 'HR Software', 'Candidate Assessment', 'Employer Branding', 'Communication']"
business development,Overseas Education Group,Hyderabad,Immediately,3 Months,"₹ 10,000-12,000 /month",11000.0,Junior,,,,
graphic design,Mrityunjaya Shrivastava,Work From Home,Immediately,3 Months,"₹ 4,500 /month",4500.0,Elite,graphic design,40-38 (Elite),"Photoshop, Illustrator, Branding, UX/UI, Typography, Motion Graphics, Design Principles","['Photoshop', 'Illustrator', 'Branding', 'UX/UI', 'Typography', 'Motion Graphics', 'Design Principles']"
human resources (hr),Shah and Doshi,Mumbai,Immediately,3 Months,"₹ 7,500-12,500 /month",10000.0,Junior,human resources (hr),18-15 (Junior),"Recruitment, Employee Engagement, HR Policies, Communication","['Recruitment', 'Employee Engagement', 'HR Policies', 'Communication']"
digital marketing,Danstring Technologies Private Limited,Delhi,Immediately,3 Months,"₹ 13,000 /month",13000.0,Junior,digital marketing,24-15 (Junior),"Social Media, Content Creation, Basic Analytics, Posting","['Social Media', 'Content Creation', 'Basic Analytics', 'Posting']"
data entry,Mediapur Production & Events LLP,Work From Home,Immediately,3 Months,"₹ 2,000 /month",2000.0,Elite,data entry,16 (Elite),"Spreadsheet Management, Data Cleaning, Accuracy, Reporting, Basic Analysis, Communication","['Spreadsheet Management', 'Data Cleaning', 'Accuracy', 'Reporting', 'Basic Analysis', 'Communication']"
international business development,Revenuency,Work From Home,Immediately,3 Months,"₹ 3,500 /month +  Incentives",3500.0,Senior,international business development,10 (Senior),"Cross-Cultural Communication, Negotiation, Market Research, CRM, Strategy, Reporting","['Cross-Cultural Communication', 'Negotiation', 'Market Research', 'CRM', 'Strategy', 'Reporting']"
accounting & tally,SHAARPS AND ASSOCIATES,Pune,Immediately,3 Months,"₹ 3,000-6,000 /month",4500.0,Senior,accounting & tally,8 (Senior),"Accounting, Tally, Bookkeeping, Excel, Reporting, Communication","['Accounting', 'Tally', 'Bookkeeping', 'Excel', 'Reporting', 'Communication']"
front end development,Jeev AI Private Limited,Mysuru,Immediately,3 Months,"₹ 12,000-15,000 /month",13500.0,Junior,front end development,4-3 (Junior),"HTML, CSS, JS, React, Git","['HTML', 'CSS', 'JS', 'React', 'Git']"
ui/ux design,Daily My Shopping,Work From Home,Immediately,3 Months,"₹ 3,000 /month",3000.0,Senior,ui/ux design,13 (Senior),"Figma, Prototyping, User Research, Wireframing, Interaction Design, Usability Testing","['Figma', 'Prototyping', 'User Research', 'Wireframing', 'Interaction Design', 'Usability Testing']"
human resources (hr),Onrr Collection,Work From Home,Immediately,6 Months,"₹ 1,000-10,000 /month",5500.0,Mid,human resources (hr),23-19 (Mid),"Recruitment, Employee Engagement, HR Policies, HR Software, Communication","['Recruitment', 'Employee Engagement', 'HR Policies', 'HR Software', 'Communication']"
business development (sales),Anantadi,Pune,Immediately,6 Months,"₹ 6,000-10,000 /month",8000.0,Senior,business development (sales),43-40 (Senior),"Negotiation, CRM, Market Research, Lead Generation, Communication, Reporting, Presentation","['Negotiation', 'CRM', 'Market Research', 'Lead Generation', 'Communication', 'Reporting', 'Presentation']"
human resources (hr),Learning Routes Private Limited,Gurgaon,Immediately,6 Months,"₹ 15,000 lump sum",15000.0,Entry,human resources (hr),14-1 (Entry),"Documentation, Attendance Tracking, Communication","['Documentation', 'Attendance Tracking', 'Communication']"
sales,Codeup Global Solutions Private Limited,Chennai,Immediately,6 Months,"₹ 4,000 /month +  Incentives",4000.0,Senior,sales,21-20 (Senior),"Negotiation, CRM, Lead Generation, Strategic Selling, Client Management, Reporting","['Negotiation', 'CRM', 'Lead Generation', 'Strategic Selling', 'Client Management', 'Reporting']"
law/legal,Fintree Finance Private Limited,Mumbai,Immediately,6 Months,"₹ 5,000-8,000 /month",6500.0,Junior,law/legal,11-8 (Junior),"Legal Drafting, Case Filing, Basic Research, Communication","['Legal Drafting', 'Case Filing', 'Basic Research', 'Communication']"
marketing,BeepKart,Chennai,Immediately,6 Months,"₹ 8,000 /month +  Incentives",8000.0,Junior,marketing,30-25 (Junior),"Marketing Strategy, Analytics, Campaign Management, Communication","['Marketing Strategy', 'Analytics', 'Campaign Management', 'Communication']"
operations,Dirty Feet,Hyderabad,Immediately,1 Month,"₹ 1,000 /week +  Incentives",1000.0,Elite,operations,33-31 (Elite),"Process Optimization, Logistics, ERP Tools, Reporting, Resource Planning, Communication, Scheduling, Problem Solving","['Process Optimization', 'Logistics', 'ERP Tools', 'Reporting', 'Resource Planning', 'Communication', 'Scheduling', 'Problem Solving']"
mobile app development,Kenvent IT,Work From Home,Immediately,1 Month,"₹ 1,000-6,000 /month",3500.0,Senior,mobile app development,11 (Senior),"Java/Kotlin, Flutter, UI/UX Design, API Integration, Testing, Git","['Java/Kotlin', 'Flutter', 'UI/UX Design', 'API Integration', 'Testing', 'Git']"
web development,Just Get It,Bangalore,Immediately,1 Month,"₹ 20,000 /month",20000.0,Entry,web development,11-1 (Entry),"HTML, CSS, JS, Basic Git","['HTML', 'CSS', 'JS', 'Basic Git']"
social media marketing,Designopedia,Work From Home,Immediately,1 Month,"₹ 3,000-4,000 /month",3500.0,Senior,social media marketing,31-29 (Senior),"Social Media Strategy, Analytics, Content Planning, Campaign Management, Reporting, Communication","['Social Media Strategy', 'Analytics', 'Content Planning', 'Campaign Management', 'Reporting', 'Communication']"
market research,Nitin Mathur,Work From Home,Immediately,1 Month,"₹ 3,000-6,000 /month",4500.0,Senior,market research,13-12 (Senior),"Data Analysis, Surveys, Analytics Tools, Reporting, Competitor Analysis, Communication","['Data Analysis', 'Surveys', 'Analytics Tools', 'Reporting', 'Competitor Analysis', 'Communication']"
search engine optimization (seo),Salahuddin Ayyubi,Work From Home,Immediately,1 Month,"₹ 1,000 /month",1000.0,Elite,search engine optimization (seo),20 (Elite),"SEO, Keyword Research, Analytics, On-page, Off-page, Content Optimization","['SEO', 'Keyword Research', 'Analytics', 'On-page', 'Off-page', 'Content Optimization']"
flutter development,TFN Enterprise (OPC) Private Limited,Work From Home,Immediately,1 Month,"₹ 4,000 /month",4000.0,Senior,flutter development,9 (Senior),"Flutter, Dart, UI/UX Design, API Integration, Testing, Git","['Flutter', 'Dart', 'UI/UX Design', 'API Integration', 'Testing', 'Git']"
ui/ux design,NextGen Techno Ventures Private Limited,Mumbai,Immediately,1 Month,"₹ 7,000 /month",7000.0,Junior,ui/ux design,9-7 (Junior),"Wireframing, Prototyping, User Research, Interaction Design, Communication","['Wireframing', 'Prototyping', 'User Research', 'Interaction Design', 'Communication']"
data entry,Ritaayat Foundation,Work From Home,Immediately,1 Month,Unpaid,0.0,Elite,data entry,16 (Elite),"Spreadsheet Management, Data Cleaning, Accuracy, Reporting, Basic Analysis, Communication","['Spreadsheet Management', 'Data Cleaning', 'Accuracy', 'Reporting', 'Basic Analysis', 'Communication']"
graphic design,Martini Spaces,Delhi,Immediately,1 Month,"₹ 4,500-7,000 /month",5750.0,Senior,graphic design,37-32 (Senior),"Photoshop, Illustrator, Branding, UX/UI, Typography, Motion Graphics","['Photoshop', 'Illustrator', 'Branding', 'UX/UI', 'Typography', 'Motion Graphics']"
talent acquisition,Amsum Technologies,Bangalore,Immediately,6 Months,"₹ 12,000-15,000 /month",13500.0,Entry,talent acquisition,4-1 (Entry),"Documentation, Candidate Communication, Basic Scheduling","['Documentation', 'Candidate Communication', 'Basic Scheduling']"
hr recruitment,Scymes Services Private Limited,Mumbai,Immediately,6 Months,"₹ 4,000 /month",4000.0,Elite,,,,
digital marketing,360tf,Jaipur,Immediately,6 Months,"₹ 12,500 /month",12500.0,Junior,digital marketing,24-15 (Junior),"Social Media, Content Creation, Basic Analytics, Posting","['Social Media', 'Content Creation', 'Basic Analytics', 'Posting']"
market research,Regrob,Lucknow,Immediately,6 Months,"₹ 8,000-10,000 /month",9000.0,Junior,market research,9-7 (Junior),"Data Analysis, Surveys, Reporting, Competitor Analysis, Communication","['Data Analysis', 'Surveys', 'Reporting', 'Competitor Analysis', 'Communication']"
search engine optimization (seo),Adxventure LLP,Work From Home,Immediately,3 Months,"₹ 2,500 lump sum",2500.0,Senior,search engine optimization (seo),19-18 (Senior),"SEO, Keyword Research, Analytics, On-page, Off-page, Content Optimization","['SEO', 'Keyword Research', 'Analytics', 'On-page', 'Off-page', 'Content Optimization']"
marketing,Global Groupware Solutions Limited,Gurgaon,Immediately,3 Months,"₹ 25,000-35,000 /month",30000.0,Entry,marketing,24-1 (Entry),"Marketing Basics, Communication, Reporting","['Marketing Basics', 'Communication', 'Reporting']"
ui/ux design,The PKB Store,Work From Home,Immediately,3 Months,"₹ 1,000 lump sum +  Incentives",1000.0,Elite,ui/ux design,14 (Elite),"Figma, Prototyping, User Research, Wireframing, Interaction Design, Usability Testing","['Figma', 'Prototyping', 'User Research', 'Wireframing', 'Interaction Design', 'Usability Testing']"
wordpress development,Blackcoffer,Work From Home,Immediately,3 Months,"₹ 5,000-7,000 /month",6000.0,Mid,wordpress development,15-13 (Mid),"WordPress, Theme Customization, HTML/CSS, Plugins, SEO","['WordPress', 'Theme Customization', 'HTML/CSS', 'Plugins', 'SEO']"
recruitment,Dreamfoot,Work From Home,Immediately,3 Months,"₹ 5,000 /month +  Incentives",5000.0,Senior,recruitment,18-17 (Senior),"Talent Sourcing, Interviewing, HR Software, Candidate Assessment, Employer Branding, Communication","['Talent Sourcing', 'Interviewing', 'HR Software', 'Candidate Assessment', 'Employer Branding', 'Communication']"
social media marketing,Carebuddy Private Limited,Indore,Immediately,3 Months,"₹ 5,500-10,000 /month",7750.0,Junior,social media marketing,24-20 (Junior),"Social Media Management, Content Planning, Communication, Reporting","['Social Media Management', 'Content Planning', 'Communication', 'Reporting']"
flutter development,Cling Multi Solutions Private Limited,Work From Home,Immediately,3 Months,"₹ 3,000 /month +  Incentives",3000.0,Senior,flutter development,9 (Senior),"Flutter, Dart, UI/UX Design, API Integration, Testing, Git","['Flutter', 'Dart', 'UI/UX Design', 'API Integration', 'Testing', 'Git']"
law/legal,LAWyersClubIndia,Work From Home,Immediately,2 Months,"₹ 1,000 /month",1000.0,Elite,law/legal,16 (Elite),"Legal Research, Drafting, Compliance, Contract Management, Case Analysis, Communication","['Legal Research', 'Drafting', 'Compliance', 'Contract Management', 'Case Analysis', 'Communication']"
full stack development,Heliverse,Work From Home,Immediately,2 Months,"₹ 15,000-18,000 /month",16500.0,Entry,full stack development,11-1 (Entry),"HTML, CSS, JS, Git, Basic React","['HTML', 'CSS', 'JS', 'Git', 'Basic React']"
video editing,AdRocks,Work From Home,Immediately,2 Months,"₹ 2,500 /month +  Incentives",2500.0,Elite,video editing,22-21 (Elite),"Premiere Pro, After Effects, Motion Graphics, Color Correction, Audio Editing, Editing","['Premiere Pro', 'After Effects', 'Motion Graphics', 'Color Correction', 'Audio Editing', 'Editing']"
web development,ESC INDIA,Delhi,Immediately,2 Months,"₹ 13,000-16,000 /month",14500.0,Junior,web development,14-12 (Junior),"HTML, CSS, JS, Git, Basic React","['HTML', 'CSS', 'JS', 'Git', 'Basic React']"
full stack development,Zeppstr,Bangalore,Immediately,2 Months,"₹ 5,000-10,000 /month",7500.0,Mid,full stack development,18-15 (Mid),"HTML, CSS, JS, React, Git, Database, API","['HTML', 'CSS', 'JS', 'React', 'Git', 'Database', 'API']"
data entry,Qriocity Ventures Private Limited,Work From Home,Immediately,2 Months,"₹ 10,000-15,000 /month",12500.0,Entry,data entry,5-1 (Entry),"Typing, Record Keeping, Basic Documentation","['Typing', 'Record Keeping', 'Basic Documentation']"
digital marketing,Adxventure LLP,Work From Home,Immediately,2 Months,"₹ 2,500 lump sum",2500.0,Elite,digital marketing,40-38 (Elite),"SEO, SEM, Google Ads, Facebook Ads, Analytics, Marketing Strategy, Conversion Optimization, Campaign Management","['SEO', 'SEM', 'Google Ads', 'Facebook Ads', 'Analytics', 'Marketing Strategy', 'Conversion Optimization', 'Campaign Management']"
business development (sales),Poddar Enterprises,Gandhidham,Immediately,2 Months,"₹ 9,000-12,000 /month",10500.0,Mid,business development (sales),39-34 (Mid),"CRM, Lead Generation, Communication, Customer Relationship Management, Reporting, Presentation","['CRM', 'Lead Generation', 'Communication', 'Customer Relationship Management', 'Reporting', 'Presentation']"
law/legal,Zen Legal LLP,Mumbai,Immediately,2 Months,"₹ 2,500 /month +  Incentives",2500.0,Elite,law/legal,16 (Elite),"Legal Research, Drafting, Compliance, Contract Management, Case Analysis, Communication","['Legal Research', 'Drafting', 'Compliance', 'Contract Management', 'Case Analysis', 'Communication']"
finance & accounting,Loom Solar Private Limited,Faridabad,Immediately,2 Months,"₹ 8,000 /month",8000.0,Senior,finance & accounting,8 (Senior),"Accounting, Financial Analysis, Excel, Reporting, Budget Planning, Communication","['Accounting', 'Financial Analysis', 'Excel', 'Reporting', 'Budget Planning', 'Communication']"
accounting & tally,BubbleNut Wash,Bangalore,Immediately,2 Months,"₹ 15,000-20,000 /month",17500.0,Entry,accounting & tally,2-1 (Entry),"Basic Accounting, Tally, Record Keeping","['Basic Accounting', 'Tally', 'Record Keeping']"
fashion design,TA Whitebrands,Gurgaon,Immediately,2 Months,"₹ 20,000-25,000 /month",22500.0,Entry,fashion design,3-1 (Entry),"Sketching, Basic Sewing, Fabric Knowledge","['Sketching', 'Basic Sewing', 'Fabric Knowledge']"
content writing,Whyral Media,Work From Home,Immediately,2 Months,"₹ 24,000 /month",24000.0,Entry,content writing,11-1 (Entry),"Writing, Editing, Blogging","['Writing', 'Editing', 'Blogging']"
marketing,GMN Roadshows & Events,Gurgaon,Immediately,2 Months,"₹ 18,000-20,000 /month",19000.0,Entry,marketing,24-1 (Entry),"Marketing Basics, Communication, Reporting","['Marketing Basics', 'Communication', 'Reporting']"
mechanical engineering,Kenmark Tech Solutions,Mumbai,Immediately,6 Months,"₹ 7,000-10,000 /month",8500.0,Mid,mechanical engineering,7-5 (Mid),"CAD, Thermodynamics, Material Science, Manufacturing Processes","['CAD', 'Thermodynamics', 'Material Science', 'Manufacturing Processes']"
accounting & tally,Puneet Arora,Delhi,Immediately,6 Months,"₹ 2,000-6,000 /month",4000.0,Senior,accounting & tally,8 (Senior),"Accounting, Tally, Bookkeeping, Excel, Reporting, Communication","['Accounting', 'Tally', 'Bookkeeping', 'Excel', 'Reporting', 'Communication']"
web development,Lawtech,Work From Home,Immediately,6 Months,"₹ 10,000-15,000 /month",12500.0,Junior,web development,14-12 (Junior),"HTML, CSS, JS, Git, Basic React","['HTML', 'CSS', 'JS', 'Git', 'Basic React']"
search engine optimization (seo),Sargamstaan,Delhi,Immediately,6 Months,"₹ 2,000-8,000 /month",5000.0,Mid,search engine optimization (seo),17-15 (Mid),"SEO, Keyword Research, Analytics, On-page, Content Optimization","['SEO', 'Keyword Research', 'Analytics', 'On-page', 'Content Optimization']"
digital marketing,Tricon Builders,Work From Home,Immediately,6 Months,"₹ 1,000 /week",1000.0,Elite,digital marketing,40-38 (Elite),"SEO, SEM, Google Ads, Facebook Ads, Analytics, Marketing Strategy, Conversion Optimization, Campaign Management","['SEO', 'SEM', 'Google Ads', 'Facebook Ads', 'Analytics', 'Marketing Strategy', 'Conversion Optimization', 'Campaign Management']"
digital marketing,Protech Planner,Noida,Immediately,2 Months,"₹ 2,000-10,000 /month",6000.0,Senior,digital marketing,37-32 (Senior),"SEO, SEM, Google Ads, Analytics, Marketing Strategy, Campaign Management","['SEO', 'SEM', 'Google Ads', 'Analytics', 'Marketing Strategy', 'Campaign Management']"
event management,Dental Window,Mumbai,Immediately,2 Months,"₹ 5,000 lump sum",5000.0,Senior,event management,16-15 (Senior),"Event Planning, Budgeting, Vendor Management, Logistics, Coordination, Marketing","['Event Planning', 'Budgeting', 'Vendor Management', 'Logistics', 'Coordination', 'Marketing']"
event management,Exemplary Food Services Private Limited,Bangalore,Immediately,2 Months,"₹ 3,000 /month +  Incentives",3000.0,Senior,event management,16-15 (Senior),"Event Planning, Budgeting, Vendor Management, Logistics, Coordination, Marketing","['Event Planning', 'Budgeting', 'Vendor Management', 'Logistics', 'Coordination', 'Marketing']"
mobile app development,BnB Developers,Work From Home,Immediately,2 Months,"₹ 1,000 /month +  Incentives",1000.0,Elite,mobile app development,12 (Elite),"Java/Kotlin, Flutter, UI/UX Design, API Integration, Testing, Git","['Java/Kotlin', 'Flutter', 'UI/UX Design', 'API Integration', 'Testing', 'Git']"
marketing,Ogni Capital Partners,Kondapur,Immediately,2 Months,"₹ 7,500-10,000 /month",8750.0,Junior,marketing,30-25 (Junior),"Marketing Strategy, Analytics, Campaign Management, Communication","['Marketing Strategy', 'Analytics', 'Campaign Management', 'Communication']"
operations,Redwolf,Delhi,Immediately,2 Months,"₹ 3,000 /week",3000.0,Elite,operations,33-31 (Elite),"Process Optimization, Logistics, ERP Tools, Reporting, Resource Planning, Communication, Scheduling, Problem Solving","['Process Optimization', 'Logistics', 'ERP Tools', 'Reporting', 'Resource Planning', 'Communication', 'Scheduling', 'Problem Solving']"
marketing,Impala Ventures,Work From Home,Immediately,2 Months,"₹ 7,500 /month",7500.0,Junior,marketing,30-25 (Junior),"Marketing Strategy, Analytics, Campaign Management, Communication","['Marketing Strategy', 'Analytics', 'Campaign Management', 'Communication']"
finance,Goaler Web Solutions,Work From Home,Immediately,6 Months,"₹ 4,500-6,500 /month",5500.0,Mid,finance,10-8 (Mid),"Accounting, Bookkeeping, Excel, Reporting","['Accounting', 'Bookkeeping', 'Excel', 'Reporting']"
marketing,Marketing Czars,Work From Home,Immediately,6 Months,"₹ 15,000 /month +  Incentives",15000.0,Entry,marketing,24-1 (Entry),"Marketing Basics, Communication, Reporting","['Marketing Basics', 'Communication', 'Reporting']"
business analytics,Smollan India Private Limited,Work From Home,Immediately,6 Months,"₹ 10,000-13,000 /month",11500.0,Entry,business analytics,2-1 (Entry),"Basic Data Analysis, Excel, Reporting","['Basic Data Analysis', 'Excel', 'Reporting']"
sales,Ingenious Solutions,Work From Home,Immediately,6 Months,"₹ 2,000 /month",2000.0,Elite,sales,23-22 (Elite),"Negotiation, CRM, Lead Generation, Strategic Selling, Client Management, Reporting, Communication","['Negotiation', 'CRM', 'Lead Generation', 'Strategic Selling', 'Client Management', 'Reporting', 'Communication']"
sales,Adtitude Digital,Work From Home,Immediately,6 Months,"₹ 16,000 /month",16000.0,Entry,sales,11-1 (Entry),"Communication, Cold Calling, Customer Interaction","['Communication', 'Cold Calling', 'Customer Interaction']"
event management,Victor Tango Entertainment Private Limited,Mumbai,Immediately,6 Months,"₹ 6,000 /month +  Incentives",6000.0,Mid,event management,14-12 (Mid),"Scheduling, Vendor Coordination, Budgeting, Coordination","['Scheduling', 'Vendor Coordination', 'Budgeting', 'Coordination']"
content writing,Organic Spice Box,Work From Home,Immediately,6 Months,₹ 500 /month +  Incentives,500.0,Elite,content writing,45-43 (Elite),"SEO Writing, Copywriting, Content Strategy, Storytelling, Editing, Keyword Research, Analytics","['SEO Writing', 'Copywriting', 'Content Strategy', 'Storytelling', 'Editing', 'Keyword Research', 'Analytics']"
video making/editing,Eduminatti,Work From Home,Immediately,6 Months,"₹ 12,000 /month",12000.0,Junior,video making/editing,16-15 (Junior),"Premiere Pro, Editing, Motion Graphics, Audio","['Premiere Pro', 'Editing', 'Motion Graphics', 'Audio']"
operations,Eduminatti,Work From Home,Immediately,6 Months,"₹ 12,000 /month",12000.0,Junior,operations,23-21 (Junior),"Task Coordination, Scheduling, Reporting, Communication","['Task Coordination', 'Scheduling', 'Reporting', 'Communication']"
flutter development,BELAKHEDA UDAY BHARTI SAMAJ KALYAN SAMITEE,Work From Home,Immediately,6 Months,Unpaid,0.0,Elite,flutter development,10 (Elite),"Flutter, Dart, UI/UX Design, API Integration, Testing, Git","['Flutter', 'Dart', 'UI/UX Design', 'API Integration', 'Testing', 'Git']"
business analytics,Ozibook Tech Solutions Private Limited,Work From Home,Immediately,6 Months,"₹ 1,000 /month",1000.0,Elite,,,,
content writing,Arsedevils,Work From Home,Immediately,2 Months,"₹ 1,500-5,000 /month",3250.0,Senior,content writing,42-38 (Senior),"SEO Writing, Copywriting, Content Strategy, Storytelling, Editing, Blogging","['SEO Writing', 'Copywriting', 'Content Strategy', 'Storytelling', 'Editing', 'Blogging']"
finance,Indian Wealth Management,Ahmedabad,Immediately,2 Months,"₹ 3,000-6,000 /month",4500.0,Senior,finance,11 (Senior),"Accounting, Financial Analysis, Excel, Reporting, Budget Planning, Communication","['Accounting', 'Financial Analysis', 'Excel', 'Reporting', 'Budget Planning', 'Communication']"
finance,Tradeshala,Work From Home,Immediately,2 Months,"₹ 3,000 /month +  Incentives",3000.0,Elite,finance,12 (Elite),"Accounting, Financial Analysis, Excel, Reporting, Budget Planning, Communication","['Accounting', 'Financial Analysis', 'Excel', 'Reporting', 'Budget Planning', 'Communication']"
finance & accounting,OZiva,Mumbai,Immediately,2 Months,"₹ 12,000 /month",12000.0,Entry,finance & accounting,2-1 (Entry),"Basic Accounting, Excel, Reporting","['Basic Accounting', 'Excel', 'Reporting']"
web development,S.K EXPORTS,Delhi,Immediately,2 Months,"₹ 8,000-10,000 /month",9000.0,Mid,web development,17-15 (Mid),"HTML, CSS, JS, Git, Basic React, Database","['HTML', 'CSS', 'JS', 'Git', 'Basic React', 'Database']"
creative design,Assurepe Technologies,Work From Home,Immediately,2 Months,"₹ 10,000 /month",10000.0,Junior,creative design,5-4 (Junior),"Photoshop, Illustrator, Typography, Branding, Layout","['Photoshop', 'Illustrator', 'Typography', 'Branding', 'Layout']"
operations,Praj - The Rehab Sphere,Mumbai,Immediately,6 Months,"₹ 6,000-8,000 /month",7000.0,Senior,operations,30-28 (Senior),"Task Coordination, Scheduling, Reporting, Basic ERP, Communication, Problem Solving","['Task Coordination', 'Scheduling', 'Reporting', 'Basic ERP', 'Communication', 'Problem Solving']"
event management,Bright Candle Events,Mumbai,Immediately,6 Months,"₹ 7,000 /month",7000.0,Junior,event management,11-7 (Junior),"Scheduling, Vendor Coordination, Budgeting, Coordination","['Scheduling', 'Vendor Coordination', 'Budgeting', 'Coordination']"
